OVO-nummer;Naam;Korte naam;OVO-nummer moeder entiteit;Moeder entiteit
OVO001989;Vereniging van Vlaamse Steden en Gemeenten;V.V.S.G.
OVO001995;Gemeente Aartselaar
OVO001996;Gemeente Affligem
OVO001997;Gemeente Alken
OVO001998;Gemeente Alveringem
OVO002000;Gemeente Anzegem
OVO002001;Gemeente Ardooie
OVO002002;Gemeente Arendonk
OVO002003;Gemeente As
OVO002004;Gemeente Asse
OVO002005;Gemeente Assenede
OVO002006;Gemeente Avelgem
OVO002007;Gemeente Baarle-Hertog
OVO002008;Gemeente Balen
OVO002009;Gemeente Beernem
OVO002010;Gemeente Beerse
OVO002011;Gemeente Beersel
OVO002012;Gemeente Begijnendijk
OVO002013;Gemeente Bekkevoort
OVO002015;Gemeente Berlaar
OVO002016;Gemeente Berlare
OVO002017;Gemeente Bertem
OVO002018;Gemeente Bever
OVO002019;Gemeente Beveren (Waas)
OVO002020;Gemeente Bierbeek
OVO002023;Gemeente Bocholt
OVO002024;Gemeente Boechout
OVO002025;Gemeente Bonheiden
OVO002026;Gemeente Boom
OVO002027;Gemeente Boortmeerbeek
OVO002029;Gemeente Bornem
OVO002030;Gemeente Borsbeek
OVO002031;Gemeente Boutersem
OVO002032;Gemeente Brakel
OVO002033;Gemeente Brasschaat
OVO002034;Gemeente Brecht
OVO002035;Gemeente Bredene
OVO002038;Gemeente Buggenhout
OVO002040;Gemeente De Haan
OVO002041;Gemeente De Pinte
OVO002042;Gemeente De Panne
OVO002043;Gemeente Deerlijk
OVO002045;Gemeente Denderleeuw
OVO002047;Gemeente Dentergem
OVO002048;Gemeente Dessel
OVO002049;Gemeente Destelbergen
OVO002050;Gemeente Diepenbeek
OVO002053;Gemeente Dilbeek
OVO002055;Gemeente Drogenbos
OVO002056;Gemeente Duffel
OVO002057;Gemeente Edegem
OVO002059;Gemeente Erpe-Mere
OVO002060;Gemeente Essen
OVO002061;Gemeente Evergem
OVO002062;Gemeente Galmaarden
OVO002063;Gemeente Gavere
OVO002065;Gemeente Geetbets
OVO002069;Gemeente Gingelom
OVO002071;Gemeente Glabbeek
OVO002072;Gemeente Gooik
OVO002073;Gemeente Grimbergen
OVO002074;Gemeente Grobbendonk
OVO002075;Gemeente Haacht
OVO002076;Gemeente Haaltert
OVO002077;Gemeentebestuur van Halen
OVO002079;Gemeente Ham
OVO002080;Gemeente Hamme (Vl.)
OVO002084;Gemeente Hechtel-Eksel
OVO002085;Gemeente Heers
OVO002086;Gemeente Heist-op-den-Berg
OVO002087;Gemeente Hemiksem
OVO002088;Gemeente Herent
OVO002090;Gemeente Herenthout
OVO002092;Gemeente Herne
OVO002093;Gemeente Herselt
OVO002094;Gemeente Herstappe
OVO002095;Gemeente Herzele
OVO002096;Gemeente Heusden-Zolder
OVO002097;Gemeente Heuvelland
OVO002098;Gemeente Hoegaarden
OVO002099;Gemeente Hoeilaart
OVO002100;Gemeente Hoeselt
OVO002101;Gemeente Holsbeek
OVO002102;Gemeente Hooglede
OVO002104;Gemeente Horebeke
OVO002105;Gemeente Houthalen-Helchteren
OVO002106;Gemeente Houthulst
OVO002107;Gemeente Hove
OVO002108;Gemeente Huldenberg
OVO002109;Gemeente Hulshout
OVO002110;Gemeente Ichtegem
OVO002112;Gemeente Ingelmunster
OVO002114;Gemeente Jabbeke
OVO002115;Gemeente Kalmthout
OVO002116;Gemeente Kampenhout
OVO002117;Gemeente Kapellen
OVO002118;Gemeente Kapelle-op-den-Bos
OVO002119;Gemeente Kaprijke
OVO002120;Gemeente Kasterlee
OVO002121;Gemeente Keerbergen
OVO002122;Gemeente Kinrooi
OVO002123;Gemeente Kluisbergen
OVO002125;Gemeente Knokke-Heist
OVO002126;Gemeente Koekelare
OVO002127;Gemeente Koksijde
OVO002128;Gemeente Kontich
OVO002129;Gemeente Kortemark
OVO002130;Gemeente Kortenaken
OVO002131;Gemeente Kortenberg
OVO002132;Gemeente Kortessem
OVO002134;Gemeente Kraainem
OVO002135;Gemeente Kruibeke
OVO002137;Gemeente Kuurne
OVO002138;Gemeente Laakdal
OVO002139;Gemeente Laarne
OVO002140;Gemeente Lanaken
OVO002142;Gemeente Langemark-Poelkapelle
OVO002143;Gemeente Lebbeke
OVO002144;Gemeente Lede
OVO002145;Gemeente Ledegem
OVO002146;Gemeente Lendelede
OVO002147;Gemeente Lennik
OVO002148;Gemeente Leopoldsburg
OVO002150;Gemeente Lichtervelde
OVO002151;Gemeente Liedekerke
OVO002153;Gemeente Lierde
OVO002154;Gemeente Lille
OVO002155;Gemeente Linkebeek
OVO002156;Gemeente Lint
OVO002157;Gemeente Linter
OVO002158;Gemeente Lochristi
OVO002161;Gemeente Londerzeel
OVO002164;Gemeente Lubbeek
OVO002165;Gemeente Lummen
OVO002166;Gemeente Maarkedal
OVO002168;Gemeente Maasmechelen
OVO002169;Gemeente Machelen (Brab.)
OVO002170;Gemeente Maldegem
OVO002171;Gemeente Malle
OVO002173;Gemeente Meerhout
OVO002175;Gemeente Meise
OVO002176;Gemeente Melle
OVO002178;Gemeente Merchtem
OVO002179;Gemeente Merelbeke
OVO002180;Gemeente Merksplas
OVO002182;Gemeente Meulebeke
OVO002183;Gemeente Middelkerke
OVO002184;Gemeente Moerbeke (Waas)
OVO002185;Gemeente Mol
OVO002186;Gemeente Moorslede
OVO002188;Gemeente Nazareth
OVO002191;Gemeente Nieuwerkerken (Limb.)
OVO002192;Gemeente Niel
OVO002194;Gemeente Nijlen
OVO002196;Gemeente Olen
OVO002198;Gemeente Oosterzele
OVO002199;Gemeente Oostkamp
OVO002200;Gemeente Oostrozebeke
OVO002202;Gemeente Opwijk
OVO002205;Gemeente Oud-Heverlee
OVO002206;Gemeente Oud-Turnhout
OVO002207;Gemeente Overijse
OVO002210;Gemeente Pepingen
OVO002211;Gemeente Pittem
OVO002213;Gemeente Putte
OVO002215;Gemeente Ranst
OVO002216;Gemeente Ravels
OVO002217;Gemeente Retie
OVO002218;Gemeente Riemst
OVO002219;Gemeentebestuur Rijkevorsel
OVO002222;Gemeente Roosdaal
OVO002223;Gemeente Rotselaar
OVO002224;Gemeente Ruiselede
OVO002225;Gemeente Rumst
OVO002226;Gemeente Schelle
OVO002228;Gemeente Schilde
OVO002229;Gemeente Schoten
OVO002231;Gemeente Sint-Genesius-Rode
OVO002232;Gemeente Sint-Gillis-Waas
OVO002233;Gemeente Sint-Katelijne-Waver
OVO002234;Gemeente Sint-Laureins
OVO002235;Gemeente Sint-Lievens-Houtem
OVO002236;Gemeente Sint-Martens-Latem
OVO002238;Gemeente Sint-Pieters-Leeuw
OVO002240;Gemeente Spiere-Helkijn
OVO002241;Gemeente Stabroek
OVO002242;Gemeente Staden
OVO002243;Gemeente Steenokkerzeel
OVO002244;Gemeente Stekene
OVO002245;Gemeente Temse
OVO002246;Gemeente Ternat
OVO002247;Gemeente Tervuren
OVO002248;Gemeente Tessenderlo
OVO002250;Gemeente Tielt-Winge
OVO002254;Gemeente Tremelo
OVO002258;Gemeente Vleteren
OVO002259;Gemeente Voeren
OVO002260;Gemeente Vorselaar
OVO002261;Gemeente Vosselaar
OVO002263;Gemeente Waasmunster
OVO002264;Gemeente Wachtebeke
OVO002266;Gemeente Wellen
OVO002267;Gemeente Wemmel
OVO002269;Gemeente Westerlo
OVO002270;Gemeente Wetteren
OVO002271;Gemeente Wevelgem
OVO002272;Gemeente Wezembeek-Oppem
OVO002273;Gemeente Wichelen
OVO002274;Gemeente Wielsbeke
OVO002275;Gemeente Wijnegem
OVO002276;Gemeente Willebroek
OVO002277;Gemeente Wingene
OVO002278;Gemeente Wommelgem
OVO002279;Gemeente Wortegem-Petegem
OVO002280;Gemeente Wuustwezel
OVO002281;Gemeente Zandhoven
OVO002282;Gemeente Zaventem
OVO002283;Gemeente Zedelgem
OVO002284;Gemeente Zele
OVO002285;Gemeente Zelzate
OVO002286;Gemeente Zemst
OVO002288;Gemeente Zoersel
OVO002290;Gemeente Zonhoven
OVO002291;Gemeente Zonnebeke
OVO002294;Gemeente Zuienkerke
OVO002295;Gemeente Zulte
OVO002296;Gemeente Zutendaal
OVO002297;Gemeente Zwalm
OVO002298;Gemeente Zwevegem
OVO002299;Gemeente Zwijndrecht
OVO002966;Intergemeentelijk Samenwerkingsverband van het Land van Waas;Interwaas
OVO003125;INTERGEMEENTELIJKE VERENIGING VOOR DUURZAAM AFVALBEHEER REGIO MECHELEN (IVAREM) (OPDRACHTHOUDENDE VERENIGING)
OVO003129;Autonoom Gemeentebedrijf Stedelijk Onderwijs Antwerpen;AGB SO
OVO003131;AUTONOOM GEMEENTEBEDRIJF ROTSELAAR
OVO003133;AUTONOOM GEMEENTEBEDRIJF PELT
OVO003279;Intergemeentelijke cultuurpartners GINTER
OVO003287;Autonoom Gemeentebedrijf Gooik
OVO003294;Autonoom Gemeentebedrijf Rumst
OVO003306;Autonoom Gemeentebedrijf De Kouter
OVO003314;AUTONOME GEMEENTEBEDRIJF ENERGIEBESPARING OOSTENDE;Energiehuis Oostende
OVO003317;AUTONOOM GEMEENTEBEDRIJ KEERBERGEN;AGB KEERBERGEN
OVO003318;Autonoom gemeentebedrijf
OVO003320;Autonoom Gemeentebedrijf  Vosselaar;AGB Vosselaar
OVO003321;Autonoom Gemeentebedrijf Stadsontwikkeling Knokke-Heist;AGSO Knokke-Heist
OVO003336;AUTONOOM GEMEENTEBEDRIJF AALTER
OVO003337;AUTONOOM GEMEENTEBEDRIJF AARSCHOT
OVO003338;Autonoom Gemeentebedrijf Ardooie
OVO003339;Autonoom Gemeentebedrijf Arendonk;AGB Arendonk
OVO003340;Intergemeentelijke Maatschappij voor Openbare Gezondheid in Zuid-West-Vlaanderen;I.M.O.G.
OVO003341;Autonoom Gemeentebedrijf Asse;AGB Asse
OVO003389;Intergemeentelijke Vereniging Veneco;Veneco
OVO003392;Eco Werf, intergemeentelijk Milieubedrijf Oost-Brabant
OVO003398;Autonoom Gemeentebedrijf Tielt
OVO003451;Gemeentelijk autonoom bedrijf Hamme - Hamse investeringsmaatschappij
OVO003452;Gemeentelijk autonoom parkeer- en mobiliteitsbedrijf Antwerpen
OVO003453;Gemeentelijke Ontwikkelingsmaatschappij Laakdal
OVO003476;Intercommunale Vereniging voor de Ophaling van Afvalstoffen in de Gemeenten van de vroegere randfederatie Tervuren;INTERRAND
OVO003483;Intercommunale voor Huisvuilverwijdering voor Burcht en Omliggende Gemeenten;IBOGEM
OVO003485;Intercommunale voor Slib- en Vuilverwijdering van Antwerpse Gemeenten;I.S.V.A.G.
OVO003489;Intergemeentelijk samenwerkingsverband Scheldelandschapspark;SLP
OVO003490;Intergemeentelijk Samenwerkingsverband voor ruimtelijke ordening en socio-economische expansie;SOLVA
OVO003491;INTERGEMEENTELIJK SAMENWERKINGSVERBAND VOOR VUILVERWIJDERING EN- VERWERKING IN BRUGGE EN OMMELAND;I.V.B.O.
OVO003492;Intergemeentelijke opdrachthoudende Vereniging voor huisvuilverwerking Meetjesland;IVM
OVO003493;Intergemeentelijke Projectvereniging Erfgoed Denderland;PV Erfgoed Denderland
OVO003495;INTERGEMEENTELIJKE SAMENWERKING WESTLEDE;IGS WESTLEDE
OVO003496;Intergemeentelijke Vereniging voor het afvalbeheer voor Oostende en Ommeland;I.V.O.O.
OVO003497;Intergemeentelijke Vereniging Hoperfgoed
OVO003498;Intergemeentelijke Vereniging voor Afvalbeheer in Gent en Omstreken;IVAGO
OVO003499;INTERGEMEENTELIJKE VERENIGING VOOR BEHEER VAN AFVALSTOFFEN VLAAMSE ARDENNEN;I.VL.A.
OVO003500;Intergemeentelijke Vereniging voor Bibliotheekwerking, Cultuur en Academie voor Deeltijds Kunstonderwijs;IVEBICA
OVO003501;Intergemeentelijke vereniging voor bibliotheekwerking Haacht-Boortmeerbeek;Habobib Haacht-Boortmeerbeek
OVO003502;INTERGEMEENTELIJKE VERENIGING VOOR CREMATORIUMBEHEER IN HET ARRONDISSEMENT HALLE-VILVOORDE
OVO003503;Intergemeentelijke Vereniging voor Crematoriumbeheer in Zuid-West-Vlaanderen;PSILON
OVO003504;Intergemeentelijke vereniging voor duurzaam milieubeleid in Izegem en Ommeland;I.V.I.O.
OVO003505;INTERGEMEENTELIJKE  ZWEMBADEN AQUADROOM- MAASEIK EN DE HAEG- DILSEN-STOKKEM;I.Z.
OVO003510;Investeringsvereniging voor Gemeenten van de Kempen en het Antwerpse;IKA
OVO003571;Waregems autonoom gemeentebedrijf stadsontwikkeling WAGSO
OVO003594;Autonoom Gemeentebedrijf De Panne
OVO003595;Autonoom Gemeentebedrijf Dendermonde
OVO003596;Autonoom Gemeentebedrijf Diepenbeek
